org.apache.tools.ant.property.GetProperty,Class contains less than 2 methods
org.apache.tools.ant.property.LocalProperties,45
org.apache.tools.ant.property.LocalPropertyStack,0
org.apache.tools.ant.property.NullReturn,Class contains less than 2 methods
org.apache.tools.ant.property.ParseNextProperty,1
org.apache.tools.ant.property.ParseProperties,13
org.apache.tools.ant.property.PropertyExpander,Class contains less than 2 methods
org.apache.tools.ant.property.ResolvePropertyMap,4
org.apache.tools.ant.taskdefs.AbstractCvsTask,866
org.apache.tools.ant.taskdefs.AbstractCvsTask.Module,0
org.apache.tools.ant.taskdefs.AbstractJarSignerTask,256
org.apache.tools.ant.taskdefs.Ant,163
org.apache.tools.ant.taskdefs.Ant.PropertyType,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Ant.Reference,0
org.apache.tools.ant.taskdefs.Ant.TargetElement,0
org.apache.tools.ant.taskdefs.AntStructure,6
org.apache.tools.ant.taskdefs.AntStructure.DTDPrinter,20
org.apache.tools.ant.taskdefs.AntStructure.StructurePrinter,6
org.apache.tools.ant.taskdefs.Antlib,9
org.apache.tools.ant.taskdefs.AntlibDefinition,2
org.apache.tools.ant.taskdefs.Apt,110
org.apache.tools.ant.taskdefs.Apt.Option,2
org.apache.tools.ant.taskdefs.AttributeNamespaceDef,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.AugmentReference,9
org.apache.tools.ant.taskdefs.Available,158
org.apache.tools.ant.taskdefs.Available.FileDir,3
org.apache.tools.ant.taskdefs.BUnzip2,3
org.apache.tools.ant.taskdefs.BZip2,1
org.apache.tools.ant.taskdefs.Basename,0
org.apache.tools.ant.taskdefs.BindTargets,0
org.apache.tools.ant.taskdefs.BuildNumber,0
org.apache.tools.ant.taskdefs.CVSPass,4
org.apache.tools.ant.taskdefs.CallTarget,0
org.apache.tools.ant.taskdefs.Checksum,198
org.apache.tools.ant.taskdefs.Checksum.FileUnion,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Checksum.FormatElement,1
org.apache.tools.ant.taskdefs.Chmod,44
org.apache.tools.ant.taskdefs.Classloader,12
org.apache.tools.ant.taskdefs.CloseResources,0
org.apache.tools.ant.taskdefs.CommandLauncherTask,0
org.apache.tools.ant.taskdefs.Componentdef,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Concat,386
org.apache.tools.ant.taskdefs.Concat.ConcatResource,0
org.apache.tools.ant.taskdefs.Concat.MultiReader,28
org.apache.tools.ant.taskdefs.Concat.ReaderFactory,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Concat.TextElement,14
org.apache.tools.ant.taskdefs.ConditionTask,9
org.apache.tools.ant.taskdefs.Copy,924
org.apache.tools.ant.taskdefs.CopyPath,20
org.apache.tools.ant.taskdefs.Copydir,7
org.apache.tools.ant.taskdefs.Copyfile,2
org.apache.tools.ant.taskdefs.Cvs,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.DefBase,72
org.apache.tools.ant.taskdefs.DefaultExcludes,2
org.apache.tools.ant.taskdefs.Definer,192
org.apache.tools.ant.taskdefs.Definer.Format,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Definer.OnError,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Delete,147
org.apache.tools.ant.taskdefs.Delete.ReverseDirs,1
org.apache.tools.ant.taskdefs.Deltree,1
org.apache.tools.ant.taskdefs.DependSet,83
org.apache.tools.ant.taskdefs.DependSet.HideMissingBasedir,0
org.apache.tools.ant.taskdefs.DependSet.NonExistent,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.DiagnosticsTask,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Dirname,0
org.apache.tools.ant.taskdefs.Ear,7
org.apache.tools.ant.taskdefs.Echo,20
org.apache.tools.ant.taskdefs.Echo.EchoLevel,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.EchoXML,0
org.apache.tools.ant.taskdefs.EchoXML.NamespacePolicy,0
org.apache.tools.ant.taskdefs.Exec,20
org.apache.tools.ant.taskdefs.Exec.StreamPumper,0
org.apache.tools.ant.taskdefs.ExecTask,622
org.apache.tools.ant.taskdefs.Execute,342
org.apache.tools.ant.taskdefs.ExecuteJava,34
org.apache.tools.ant.taskdefs.ExecuteOn,434
org.apache.tools.ant.taskdefs.ExecuteOn.FileDirBoth,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,10
org.apache.tools.ant.taskdefs.ExecuteWatchdog,5
org.apache.tools.ant.taskdefs.Exit,42
org.apache.tools.ant.taskdefs.Exit.NestedCondition,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Expand,203
org.apache.tools.ant.taskdefs.Filter,0
org.apache.tools.ant.taskdefs.FixCRLF,38
org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.FixCRLF.CrLf,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.FixCRLF.OneLiner,11
org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine,111
org.apache.tools.ant.taskdefs.GUnzip,3
org.apache.tools.ant.taskdefs.GZip,1
org.apache.tools.ant.taskdefs.GenerateKey,52
org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName,0
org.apache.tools.ant.taskdefs.GenerateKey.DnameParam,2
org.apache.tools.ant.taskdefs.Get,131
org.apache.tools.ant.taskdefs.Get.Base64Converter,Class contains less than 2 methods
org.apache.tools.ant.taskdefs.Get.DownloadProgress,3
org.apache.tools.ant.taskdefs.Get.GetThread,2
org.apache.tools.ant.taskdefs.Get.NullProgress,3
org.apache.tools.ant.taskdefs.Get.VerboseProgress,0
org.apache.tools.ant.taskdefs.HostInfo,29
